"List of International Organisations for which a simplified reporting of AnaCredit counterparty reference data applies, unless otherwise decided by the relevant NCB",,,,,
"Source landing page: https://www.ecb.europa.eu/stats/ecb_statistics/anacredit/html/index.en.html",,,,,
"Source file: https://www.ecb.europa.eu/stats/money/aggregates/anacredit/shared/pdf/List_of_international_organisations.xlsx",,,,,
"Reuse policy: https://www.ecb.europa.eu/stats/ecb_statistics/governance_and_quality_framework/html/usage_policy.en.html",,,,,
#,International organisation,Head office / Location,Comment,Counterparty identifier (unless otherwise decided by the NCB),International Organisation Code
58,Single Resolution Board [SRB],Brussels,Regulation (EU) No 806/2014,E$0ECBM00999,4M
59,The European Union's Judicial Cooperation Unit [EUROJUST],The Hague,Council Decision 2002/187/JHA,E$0ECBM01005,4J840
60,Translation Centre for the Bodies of the European Union [CdT],Luxembourg,Council Regulation (EC) No 2965/94,E$0ECBM01013,4J841
61,European Public Prosecutor's Office (in preparation) [EPPO],,"Established by TFEU Article 86, which allows for a simplified enhanced cooperation procedure which does not require authorization from the Council to proceed.",E$0ECBM01047,4J831
62,European Union [EU],BRUSSELS,,E$0ECBM01054,
63,European Financial Stability Facility [EFSF],Luxembourg,,E$0ECBM901678,4W
64,European Telecommunications Satellite Organization [EUTELSAT],Paris,"IDC,G3",E$ECBM8467139,6H
65,ATHENA Mechanism,Brussels,,E$ECBM922989,4J842
66,Africa Finance Corporation [AFC],Lagos,,N$0ECBM00024,5Z1
67,African Development Bank [AfDB],Abidjan,,N$0ECBM00032,5D
68,African Development Bank Group [AfDB],Abidjan,,N$0ECBM00040,5Z2
69,African Development Fund [AfDF],Abidjan,,N$0ECBM00057,5Q
70,African Export-Import Bank [Afreximbank],Cairo,,N$0ECBM00065,7H
71,African Union  [AU],Addis Ababa ,,N$0ECBM00073,6A1
72,Andean Development Corporation [ADC],Caracas,,N$0ECBM00081,5U
73,Arab Bank for Economic Development in Africa [BADEA],Khartoum,,N$0ECBM00099,5N
74,Arab Fund for Economic and Social Development [AFESD],Kuwait,,N$0ECBM00107,5Z3
75,Arab Monetary Fund [AMF],Abu Dhabi,,N$0ECBM00115,5M
76,Asian Clearing Union [ACU],Tehran,,N$0ECBM00123,5Z4
77,Asian Development Bank [ADB],Manila,,N$0ECBM00131,5E
78,Asian Development Fund  [AsDF],Manila,,N$0ECBM00149,5R
