Foreign Trade Bank of Latin America [Bladex],N$0ECBM00339
Inter-American Development Bank [IADB],N$0ECBM00347
Inter-American Investment Corporation [IIC],N$0ECBM00354
International Bank for Economic Cooperation [IBEC],N$0ECBM00362
International Bank for Reconstruction and Development (IBRD) [IBRD],N$0ECBM00370
International Centre for Settlement of Investment Disputes - WB Group [ICSID],N$0ECBM00388
International Civil Aviation Organization  [ICAO],N$0ECBM00396
International Committee of the Red Cross  [ICRC],N$0ECBM00404
International Cotton Advisory Committee  [ICAC],N$0ECBM00412
International Development Association - WG Group [IDA],N$0ECBM00420
International Finance Corporation [IFC],N$0ECBM00438
International Investment Bank [IIB],N$0ECBM00446
International Jute Study Group  [IJSG],N$0ECBM00453
International Labour Organization  [ILO],N$0ECBM00461
International Monetary Fund [IMF],N$0ECBM00479
International Organisation for Migration [IOM],N$0ECBM00487
International Telecommunication Union  [ITU],N$0ECBM00495
Islamic Development Bank  [IDB],N$0ECBM00503
Latin American and the Caribbean Economic System  [SELA],N$0ECBM00511
Latin American Association of Development Financing Institutions  [ALIDE],N$0ECBM00529
Latin American Energy Organization  [OLADE],N$0ECBM00537
Latin American Integration Association  [LAIA],N$0ECBM00545
Latin American Reserve Fund [LARF],N$0ECBM00552
League of Arab States  [LAS],N$0ECBM00560
Multilateral Investment Guarantee Agency - WB Group [MIGA],N$0ECBM00578
North American Development Bank  [NADB],N$0ECBM00586
Organisation of Eastern Caribbean States  [OECS],N$0ECBM00594
Organization of American States  [OAS],N$0ECBM00602
Organization of Arab Petroleum Exporting Countries  [OAPEC],N$0ECBM00610
Organization of Central American States  [OCAS],N$0ECBM00628
South Asian Association for Regional Cooperation  [SAARC],N$0ECBM00636
Special Development Fund (related to the Caribbean Development Bank) [SDF],N$0ECBM00644
United Nations Children's Fund  [UNICEF],N$0ECBM00651
United Nations Conference on Trade and Development  [UNCTAD],N$0ECBM00669
"United Nations, its committees, funds and programmes, other [-]",N$0ECBM00677
Universal Postal Union  [UPU],N$0ECBM00685
West African Central Bank [BCEAO],N$0ECBM00693
West African Economic and Monetary Union [WAEMU],N$0ECBM00701
West African Economic Community  [WAEC],N$0ECBM00719
West African Health Organisation [WAHO],N$0ECBM00727
West African Monetary Agency  [WAMA],N$0ECBM00735
West African Monetary Institute [WAMI],N$0ECBM00743
World Council of Churches  [WCC],N$0ECBM00750
World Health Organization  [WHO],N$0ECBM00768
World Intellectual Property Organization  [WIPO],N$0ECBM00776
World Meteorological Organization  [WMO],N$0ECBM00784
World Trade Organization  [WTO],N$0ECBM00792
Black Sea Trade and Development Bank [BSTDB],N$0ECBM00800
Computer Emergency Response Team [CERT],N$0ECBM00818
Council of Europe  [CE],N$0ECBM00826
Council of Europe Development Bank [CEB],N$0ECBM00834
EU-Africa Infrastructure Trust Fund  [EU-ATIF],N$0ECBM00842
European Bank for Reconstruction and Development [EBRD],N$0ECBM00859
European Centre for Medium-Range Weather Forecasts [ECMWF],N$0ECBM00867
European Molecular Biology Laboratory [EMBL],N$0ECBM00875
European Organisation for the Exploitation of Meteorological Satellites [EUMETSAT],N$0ECBM00883
European Organisation for the Safety of Air Navigation [EUROCONTROL],N$0ECBM00891
European Patent Office [EPO],N$0ECBM00909
European Southern Observatory [ESO],N$0ECBM00917
European Space Agency  [ESA],N$0ECBM00925
Facility for Euro-Mediterranean Investment and Partnership [FEMIP],N$0ECBM00933
Fonds Belgo-Congolais D’Amortissement et de Gestion [RDC],N$0ECBM00941
Food and Agricultural Organization  [FAO],N$0ECBM00958
Fusion for Energy [F4E],N$0ECBM00966
Intergovernmental Council of Copper Exporting Countries  [CIPEC],N$0ECBM00974
International Atomic Energy Agency  [IAEA],N$0ECBM00982
International Cocoa Organization  [ICCO],N$0ECBM00990
International Coffee Organization  [ICO],N$0ECBM01006
International Copper Study Group [ICSG],N$0ECBM01014
International Finance Facility for Immunisation [IFFIm],N$0ECBM01022
International Fund for Agricultural Development [IFAD],N$0ECBM01030
